0,0
0.185623,0.185362
0.397149,0.399076
0.437303,0.410011
0.676648,0.683368
0.858348,0.855222
1.07233,1.07472
1.20162,1.18954
1.42712,1.43148
1.71727,1.73267
1.91814,1.91829
2.21846,2.2356
2.37175,2.36378
2.48212,2.46681
2.73855,2.74819
2.88514,2.87602
3.21206,3.23374
3.34125,3.32915
3.32267,3.28534
3.44677,3.4338
3.60067,3.59279
3.88772,3.90259
4.034,4.02482
4.19278,4.18574
4.42179,4.42674
4.61142,4.60965
4.99154,5.02231
5.15986,5.15444
5.33531,5.33112
5.33874,5.30516
5.44826,5.43281
5.64301,5.64211
5.96728,5.98851
6.28296,6.30271
6.56199,6.57549
6.74121,6.73766
7.07066,7.09277
7.28753,7.29041
7.57369,7.58841
7.81123,7.81764
8.04872,8.05513
8.30387,8.3133
8.49293,8.49106
8.54893,8.52433
8.90065,8.92657
9.04822,9.03927
9.28836,9.29521
9.43861,9.43012
9.69571,9.70546
9.88685,9.88534
10.0996,10.1018
